127.0.0.1 - - [25/Dec/2017:19:08:31 -0800] "GET / HTTP/1.1" 200 11450
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:09:00 -0800] "GET /work/secHouse.jsp HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:09:11 -0800] "GET /work/secHouse.jsp HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:09:39 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:10:45 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:10:55 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:11:47 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:11:48 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:12:32 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:12:43 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:12:56 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1447
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:13:14 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:14:32 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:14:34 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:14:35 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:15:11 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:17:52 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:17:53 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:18:14 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:18:36 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:18:44 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:18:45 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:18:52 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:18:53 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:21:00 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:23:51 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:24:45 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:25:24 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:25:29 -0800] "GET /Flour/index HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:25:29 -0800] "GET /Flour/index HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:25:41 -0800] "GET /Flour/index HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:25:42 -0800] "GET /Flour/index HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:25:44 -0800] "GET /Flour/index HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:25:50 -0800] "GET /Flour/index HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:25:54 -0800] "GET /Flour/index HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:32:12 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:32:14 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:32:26 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:35:02 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:35:21 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:36:56 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:36:57 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:37:16 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:37:18 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:37:41 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:37:43 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:37:44 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:37:47 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:37:48 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [25/Dec/2017:19:37:49 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:01:04 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:01:06 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:01:25 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:01:49 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:02:02 -0800] "GET /Flour/login.jsp HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:22:09 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:22:09 -0800] "GET /Flour/login_05.gif HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:22:26 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:22:27 -0800] "GET /Flour/WebRoot/images/login_05.gif HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:23:42 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:23:42 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:23:54 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:23:55 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:24:08 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:24:08 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:25:26 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:25:26 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:25:26 -0800] "GET /Flour/images/login_01.gif HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:25:47 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:25:47 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:25:48 -0800] "GET /Flour/images/login_01.jpg HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:28:17 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:28:17 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:28:17 -0800] "GET /Flour/images/icon_1.bmp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:29:02 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:29:02 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:29:02 -0800] "GET /Flour/images/icon_6.bmp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:29:02 -0800] "GET /Flour/images/icon_1.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:29:02 -0800] "GET /Flour/images/icon_8.bmp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:29:02 -0800] "GET /Flour/images/icon_7.bmp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:29:02 -0800] "GET /Flour/images/icon_3.bmp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:29:02 -0800] "GET /Flour/images/icon_9.bmp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:29:02 -0800] "GET /Flour/images/icon_2.bmp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:29:02 -0800] "GET /Flour/images/icon_4.bmp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:29:02 -0800] "GET /Flour/images/icon_5.bmp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:10 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:10 -0800] "GET /Flour/images/icon_2.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:10 -0800] "GET /Flour/images/icon_4.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:10 -0800] "GET /Flour/images/icon_5.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:10 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
